Month,State,State_visitor_number
7,NE,382477
7,NH,210663
7,NJ,1146449
7,NM,326779
7,NV,515316
7,NY,1999335
7,OH,1539806
7,OK,683594
7,OR,455458
7,PA,1533437
7,PR,166211
7,RI,152216
7,SC,902086
7,SD,171294
7,TN,1206666
7,TX,3592957
7,UT,467917
7,VA,1060952
7,VI,1497
7,VT,61158
7,WA,658902
7,WI,804636
7,WV,292581
7,WY,149570
8,AK,55956
8,AL,937009
8,AP,292
8,AR,542059
8,AS,72
8,AZ,859475
8,CA,3177172
8,CO,780349
8,CT,510340
8,DC,147379
8,DE,207032
8,FL,3039464
8,GA,1863580
8,GU,5089
8,HI,104056
8,IA,600147
8,ID,290334
8,IL,1735226
8,IN,1140469
8,KS,508334
8,KY,735642
8,LA,707760
8,MA,768955
8,MD,790397
8,ME,171639
8,MI,1331145
8,MN,811464
8,MO,1080516
8,MP,27
8,MS,562815
8,MT,151093
8,NC,1458258
8,ND,123832
8,NE,409898
8,NH,254612
8,NJ,1317444
8,NM,333825
8,NV,577422
8,NY,2226545
8,OH,1678749
8,OK,699800
8,OR,468499
8,PA,1691496
8,PR,88405
8,RI,189709
8,SC,899665
8,SD,176796
8,TN,1219129
8,TX,3687235
8,UT,483212
8,VA,1115915
8,VI,1255
8,VT,71231
8,WA,710430
8,WI,848194
8,WV,307434
8,WY,148176
9,AK,56594
9,AL,921569
9,AP,254
9,AR,539226
9,AS,61
9,AZ,833918
9,CA,3235355
9,CO,763568
9,CT,456435
9,DC,148336
9,DE,177790
9,FL,2947706
9,GA,1795588
9,GU,3847
9,HI,109239
9,IA,559760
9,ID,256115
9,IL,1740051
9,IN,1102291
9,KS,506506
9,KY,730085
9,LA,709609
9,MA,754120
9,MD,761963
9,ME,151678
9,MI,1226638
9,MN,764124
9,MO,1053321
9,MP,12
9,MS,557474
9,MT,143465
9,NC,1433935
9,ND,126832
9,NE,378759
9,NH,220891
9,NJ,1259986
9,NM,307572
9,NV,541087
9,NY,2190509
9,OH,1672916
9,OK,694897
9,OR,476632
9,PA,1622102
9,PR,102020
9,RI,156549
9,SC,874194
