Date,State,State_resident_number
01/27/2020,TN,54604
01/27/2020,TX,491930
01/27/2020,UT,2157959
01/27/2020,VA,171800
01/27/2020,VI,506592
01/27/2020,VT,887
01/27/2020,WA,25672
01/27/2020,WI,395506
01/27/2020,WV,359834
01/27/2020,WY,105098
02/03/2020,AK,32286
02/03/2020,AL,31720
02/03/2020,AR,493519
02/03/2020,AS,270136
02/03/2020,AZ,11
02/03/2020,CA,473880
02/03/2020,CO,2127152
02/03/2020,CT,380659
02/03/2020,DC,220436
02/03/2020,DE,45567
02/03/2020,FL,66306
02/03/2020,GA,1832313
02/03/2020,GU,890539
02/03/2020,HI,2164
02/03/2020,IA,81984
02/03/2020,ID,272943
02/03/2020,IL,107667
02/03/2020,IN,973900
02/03/2020,KS,522208
02/03/2020,KY,248753
02/03/2020,LA,325297
02/03/2020,MA,403314
02/03/2020,MD,385100
02/03/2020,ME,412335
02/03/2020,MI,64892
02/03/2020,MN,727380
02/03/2020,MO,404004
02/03/2020,MP,518028
02/03/2020,MS,27
02/03/2020,MT,269318
02/03/2020,NC,56586
02/03/2020,ND,800997
02/03/2020,NE,55677
02/03/2020,NH,167114
02/03/2020,NJ,81602
02/03/2020,NM,640712
02/03/2020,NV,120396
02/03/2020,NY,202851
02/03/2020,OH,1265869
02/03/2020,OK,920272
02/03/2020,OR,360271
02/03/2020,PA,240664
02/03/2020,PR,861346
02/03/2020,RI,164879
02/03/2020,SC,63339
02/03/2020,SD,416948
02/03/2020,TN,59353
02/03/2020,TX,558307
02/03/2020,UT,2474681
02/03/2020,VA,203701
02/03/2020,VI,588158
02/03/2020,VT,779
02/03/2020,WA,28454
02/03/2020,WI,438214
02/03/2020,WV,395938
02/03/2020,WY,121847
02/10/2020,AK,35350
02/10/2020,AL,30589
02/10/2020,AR,484100
02/10/2020,AS,259785
02/10/2020,AZ,7
02/10/2020,CA,461317
02/10/2020,CO,2053507
02/10/2020,CT,374712
02/10/2020,DC,213445
02/10/2020,DE,42113
02/10/2020,FL,64259
02/10/2020,GA,1756297
02/10/2020,GU,865849
02/10/2020,HI,484
02/10/2020,IA,80446
02/10/2020,ID,271318
02/10/2020,IL,102796
02/10/2020,IN,960565
02/10/2020,KS,513481
02/10/2020,KY,243154
02/10/2020,LA,319856
02/10/2020,MA,392360
02/10/2020,MD,376037
02/10/2020,ME,390493
02/10/2020,MI,63842
02/10/2020,MN,708182
02/10/2020,MO,403100
02/10/2020,MP,500550
02/10/2020,MS,20
02/10/2020,MT,262751
