Date,State,State_resident_number
05/18/2020,AZ,5
05/18/2020,CA,302471
05/18/2020,CO,1306694
05/18/2020,CT,242588
05/18/2020,DC,132271
05/18/2020,DE,18486
05/18/2020,FL,40656
05/18/2020,GA,1212075
05/18/2020,GU,637465
05/18/2020,HI,2421
05/18/2020,IA,52655
05/18/2020,ID,198903
05/18/2020,IL,73938
05/18/2020,IN,649955
05/18/2020,KS,370429
05/18/2020,KY,180748
05/18/2020,LA,235875
05/18/2020,MA,287338
05/18/2020,MD,222961
05/18/2020,ME,238779
05/18/2020,MI,43692
05/18/2020,MN,464953
05/18/2020,MO,270652
05/18/2020,MP,374098
05/18/2020,MS,4
05/18/2020,MT,205114
05/18/2020,NC,39049
05/18/2020,ND,543295
05/18/2020,NE,39105
05/18/2020,NH,120722
05/18/2020,NJ,53714
05/18/2020,NM,388869
05/18/2020,NV,74304
05/18/2020,NY,125743
05/18/2020,OH,748230
05/18/2020,OK,639924
05/18/2020,OR,273739
05/18/2020,PA,154443
05/18/2020,PR,540453
05/18/2020,RI,69007
05/18/2020,SC,38496
05/18/2020,SD,302953
05/18/2020,TN,44541
05/18/2020,TX,408687
05/18/2020,UT,1732943
05/18/2020,VA,135589
05/18/2020,VI,369486
05/18/2020,VT,551
05/18/2020,WA,17183
05/18/2020,WI,276814
05/18/2020,WV,276944
05/18/2020,WY,83423
05/25/2020,AK,24801
05/25/2020,AL,25280
05/25/2020,AR,424214
05/25/2020,AS,231803
05/25/2020,AZ,9
05/25/2020,CA,351150
05/25/2020,CO,1530435
05/25/2020,CT,287337
05/25/2020,DC,148842
05/25/2020,DE,22963
05/25/2020,FL,46121
05/25/2020,GA,1428986
05/25/2020,GU,707831
05/25/2020,HI,2431
05/25/2020,IA,59946
05/25/2020,ID,224506
05/25/2020,IL,86718
05/25/2020,IN,749558
05/25/2020,KS,419929
05/25/2020,KY,200529
05/25/2020,LA,267475
05/25/2020,MA,330337
05/25/2020,MD,254914
05/25/2020,ME,272852
05/25/2020,MI,48647
05/25/2020,MN,531100
05/25/2020,MO,307453
05/25/2020,MP,428841
05/25/2020,MS,2
05/25/2020,MT,228642
05/25/2020,NC,44976
05/25/2020,ND,612765
05/25/2020,NE,43663
05/25/2020,NH,130568
05/25/2020,NJ,59510
05/25/2020,NM,441935
05/25/2020,NV,90889
05/25/2020,NY,155220
05/25/2020,OH,873972
05/25/2020,OK,724570
05/25/2020,OR,309129
05/25/2020,PA,181706
05/25/2020,PR,619607
05/25/2020,RI,75325
05/25/2020,SC,43570
05/25/2020,SD,347513
05/25/2020,TN,49174
05/25/2020,TX,458577
05/25/2020,UT,2009988
05/25/2020,VA,151997
05/25/2020,VI,415197
05/25/2020,VT,507
05/25/2020,WA,19562
05/25/2020,WI,317381
05/25/2020,WV,319968
05/25/2020,WY,94089
06/01/2020,AK,28342
06/01/2020,AL,26924
06/01/2020,AR,434213
06/01/2020,AS,236242
06/01/2020,AZ,19
06/01/2020,CA,362067
06/01/2020,CO,1597019
06/01/2020,CT,293584
06/01/2020,DC,156208
06/01/2020,DE,23269
06/01/2020,FL,49336
06/01/2020,GA,1470203
06/01/2020,GU,732066
06/01/2020,HI,2990
06/01/2020,IA,61653
06/01/2020,ID,231777
06/01/2020,IL,91553
06/01/2020,IN,800174
06/01/2020,KS,438117
06/01/2020,KY,205084
06/01/2020,LA,275811
06/01/2020,MA,338005
06/01/2020,MD,266547
06/01/2020,ME,284902
06/01/2020,MI,52417
06/01/2020,MN,566785
06/01/2020,MO,330573
06/01/2020,MP,435840
06/01/2020,MS,4
06/01/2020,MT,236716
06/01/2020,NC,46991
06/01/2020,ND,629156
06/01/2020,NE,47849
06/01/2020,NH,138856
06/01/2020,NJ,63945
06/01/2020,NM,459652
06/01/2020,NV,93115
06/01/2020,NY,159157
06/01/2020,OH,884129
06/01/2020,OK,756072
06/01/2020,OR,314862
06/01/2020,PA,188064
06/01/2020,PR,652155
06/01/2020,RI,83898
06/01/2020,SC,46651
06/01/2020,SD,354642
06/01/2020,TN,53658
06/01/2020,TX,470498
06/01/2020,UT,2074578
06/01/2020,VA,159595
06/01/2020,VI,431257
06/01/2020,VT,613
06/01/2020,WA,20560
06/01/2020,WI,327825
06/01/2020,WV,337698
06/01/2020,WY,98677
06/08/2020,AK,30088
06/08/2020,AL,26850
06/08/2020,AR,433655
06/08/2020,AS,233485
06/08/2020,AZ,11
06/08/2020,CA,352667
06/08/2020,CO,1562239
06/08/2020,CT,289911
06/08/2020,DC,154442
06/08/2020,DE,23288
06/08/2020,FL,49176
06/08/2020,GA,1429346
06/08/2020,GU,734338
06/08/2020,HI,3045
06/08/2020,IA,59529
06/08/2020,ID,223740
06/08/2020,IL,91523
06/08/2020,IN,770308
06/08/2020,KS,433703
06/08/2020,KY,202359
06/08/2020,LA,273417
06/08/2020,MA,333494
06/08/2020,MD,262855
06/08/2020,ME,286411
06/08/2020,MI,52709
06/08/2020,MN,566411
06/08/2020,MO,322308
06/08/2020,MP,427307
06/08/2020,MS,2
06/08/2020,MT,233623
06/08/2020,NC,47906
06/08/2020,ND,631842
06/08/2020,NE,47042
06/08/2020,NH,137333
06/08/2020,NJ,62691
06/08/2020,NM,463581
06/08/2020,NV,93856
06/08/2020,NY,155873
06/08/2020,OH,896199
06/08/2020,OK,752194
06/08/2020,OR,310115
06/08/2020,PA,186825
06/08/2020,PR,648478
06/08/2020,RI,91730
06/08/2020,SC,46131
06/08/2020,SD,357367
06/08/2020,TN,52473
06/08/2020,TX,465405
06/08/2020,UT,2013537
06/08/2020,VA,155857
06/08/2020,VI,429628
06/08/2020,VT,659
06/08/2020,WA,20811
06/08/2020,WI,326383
06/08/2020,WV,334143
06/08/2020,WY,98398
